name,description
Pintrue Sport,"



		Product details
		



Garnier Ultimate Blends Delicate Oat haircare range is our ultimate range for a sensitive scalp and fragile hair.
 
Blended with oat milk and rice cream, this light and creamy formula with a delicate fragrance, calms the sensation of a sensitive scalp, reduces the feeling of itchiness and nourishes fragile hair. When incorporated into your haircare routine, this comforting scalp range leaves hair feeling blissfully soft, smooth and shiny.  Tested under dermatological control. Discover the naturally derived ingredients in our Delicate Oat hair care range: Inspired by the skincare practices of eastern women, rice cream harnesses the natural goodness of rice, which is rich in vitamin E and vitamin B complexes. Oat milk, a time honoured beauty ingredient rich in vitamin B1, calcium and iron. Our Delicate Oat hair products have a vegan formula: no animal ingredients or by products and our bottles are made of 100% recycled plastic*




Suitable for
Hair



How to use
Massage into wet hair. Lather, rinse & follow with our complementary conditioner for intense care.



Ingredients
AQUA / WATER, SODIUM LAURETH SULFATE, COCO-BETAINE, GLYCOL DISTEARATE, GLYCERIN, GLYCINE SOJA OIL / SOYBEAN OIL, ALOE BARBADENSIS LEAF JUICE,AVENA SATIVA KERNEL EXTRACT / OAT KERNEL EXTRACT, ORYZA SATIVA STARCH / RICE STARCH, PPG-5-CETETH-20, PEG-55 PROPYLENE GLYCOL OLEATE, PEG-60 HYDROGENATED CASTOR OIL, DICAPRYLYL ETHER, DILAURYL THIODIPROPIONATE, CARBOMER, SODIUM CHLORIDE, SODIUM HYDROXIDE, PROPYLENE GLYCOL, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, CITRIC ACID, XANTHAN GUM, POLYQUATERNIUM-7, TOCOPHEROL, POTASSIUM SORBATE, SODIUM BENZOATE, SALICYLIC ACID, PARFUM / FRAGRANCE. (F.I.L C253486/1).




...read more
...read less

"
Pintrue Volumise,"



		Product details
		



Repairs the look and feel of dry, damaged hair and restores hair's natural frizz defenses. Contains Amino Repair Complex.




How to use
Apply shampoo to wet hair, lather, rinse well. Follow with Frizz Ease® Miraculous Recovery® Conditioner.


Ingredients
""AQUA, SODIUM LAURETH SULFATE, COCO-GLUCOSIDE, GLYCOLDISTEARATE, COCAMIDOPROPYL BETAINE, CETYL ALCOHOL, COCAMIDE MEA,PARFUM, DIMETHICONE, DMDM HYDANTOIN, BENZYL ALCOHOL, PPG-9,SODIUM CHLORIDE, METHYLPARABEN, POLYQUATERNIUM-10, MALIC ACID,PROPYLPARABEN, DISODIUM EDTA, GLYCINE, LAURETH-23, LAURETH-4,BIS-METHOXYPROPYLAMIDO ISODOCOSANE, HYDROLYZED SILK, LINALOOL,HEXYL CINNAMAL, BUTYLPHENYL METHYLPROPIONAL, LIMONENE.""



...read more
...read less

"
Pintrue Zesty,"



		Product details
		



Umberto Giannini Grow Root Stimulating ShampooA healthy scalp equals healthy, hard-working roots. The anti-pollution formula of Grow Long Stimulating Shampoo removes grime and build-up to maximise your hair’s absorption of the growth-promoting active ingredients. Vitamins and minerals from natural sources stimulate circulation to the roots for a healthy scalp and longer hair.Part of the Grow Long Range this product contains our unique Umberto Giannini Caffeine gro-complex which contains:Caffeine & Black Coffee Seed Extract to stimulate circulationOrganic Pea Sprout Extract to accelerate hair growth and prolong hair lifecycle Seaweed, Marine Nutrients for hair health.What it does: Cleanses hair, removes build-up and stimulates hair circulation.Who’s it for: Those looking for hair growth.What it is: An anti-pollution Shampoo that removes grime, build-up and stimulates hair circulation.Vegan & Cruelty Free250ml.




How to use
Massage thoroughly through wet hair. Rinse and follow with Umberto Giannini Grow Long Conditioner.


Hazards and Cautions
If irritation occurs, discontinue use. Avoid contact with eyes. Due to the natural origin of the ingredients, colour and consistency may vary over time and from batch to batch. This does not affect the quality, safety or performance of the product.


Important info
UK


Ingredients
Aqua (Water), Amonium Lauryl Sulfate, Cocamidopropyl Betaine, Glycerin, Sodium Lauroyl Sarcosinate, Glycol Distearate, Sodium Benzoate, Parfum (Fragrance), Laureth-4, Pentylene Glycol, Piroctone Olamine, Caffeine Citric Acid, Sodium Citrate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Potassium Sorbate, Triticum Vulgare (Wheat) Bran Extract, Formic Acid, 1,2-Hexanediol, Caprylyl Glycol, Coffea Arabica (Coffee) Seed Extract, Sodium Chloride Chondrus Crispus (Carrageenan) Extract, Coffea Robusta Seed Extract, Fucus Vesiculosus Extract, Laminaria Digitata Extract, Maris Sal (Sea Salt).



...read more
...read less

"
Pintrue Zingy,"



		Product details
		



Did you know that a dry scalp can lead to thinning hair as it leaves roots undernourished? This Head & Shoulders DermaXPRO anti-dandruff shampoo is a nourishing shampoo that helps seal moisture into the scalp to help support natural hair growth. This scalp & hair revitaliser is enriched with vitamin E, niacinamide and active aloe to nourish the scalp and hair roots and leave you with a moisturised, flake free scalp (visible flakes, with regular use). Use along with the Derma XPRO Conditioner and Day & Night scalp treatment for best results.




Important info
Country of Origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Glycol Distearate, Sodium Citrate, Dimethiconol, Piroctone Olamine, Dimethicone, Parfum, Citric Acid, Sodium Benzoate, Sodium Salicylate, TEA-Dodecylbenzenesulfonate, Guar Hydroxypropyltrimonium Chloride, Menthol, Tocopheryl Acetate, Trideceth-10, Tetrasodium EDTA, Sodium Hydroxide, Hexyl Cinnamal, Niacinamide, Aloe Barbadensis Leaf Juice, Linalool, Hydroxycitronellal, Geraniol, Citronellol, Benzyl Alcohol, Triethylene Glycol, Propylene Glycol




...read more
...read less

"
Rad Active,"



		Product details
		



Nilaqua Rinse Free Shampoo CapAs seen in the NHS, the Nilaqua Rinse Free Shampoo Cap is impregnated with towel off shampoo, allowing you to wash your hair effectively without water or rinsing, and leaving hair beautifully soft and clean.Key FeaturesNo water or rinsing requiredExcellent alternative to dry shampooKind and gentle Can be microwaved for a warm wash (check temperature first)Made in the UKVegan FriendlyIdeal for mobile hairdressers, care workers, for use after operations, bed bound and palliative care patients, and anyone who finds bending their neck difficult. Nilaqua Rinse-free Shampoo Cap is also perfect for use while camping.How to useApply single use cap to head, tuck in all strands of hair, massage until scalp feels saturated. Remove cap and thoroughly towel dry hair. Once towelled style as normal.IngredientsAqua, TEA-Lauryl sulfate, Propylene Glycol, Benzyl alcohol, Cocamidopropyl betaine, Dehydroacetic Acid, Parfum, Benzoic Acid, Disodium EDTA, Sorbic Acid, Tocopherol.




"
Rad Cool,"



		Product details
		



The ultimate wash day curl quencher! Drench hair with moisture with this sulphate-free shampoo for a more manageable, frizz-free finish and up to 72 hours hydration.*
Gently cleanse and moisturise dehydrated curls for a frizz-free healthy shine. Formulated without sulphates and silicones. For dry, parched waves, curls and coils.
 
With a unique Triple-hydrating COMPLEX that combines moisture-loving Hyaluronic acid, Snow Mushroom and Black Oat extract to seal-in moisture, banish frizz and gives long lasting hydration, without the heaviness. 
 
Frizz-free, bouncy and intensely hydrated waves, curls and coils. 
* Independent consumer testing




Suitable for
Suitable for children and adults aged 3+



How to use
Apply to wet hair, massage into your scalp, and rinse. Follow with Thirsty Curls Moisture Surge Curl Hydrating Conditioner. Complete the regime with Treatment Mask and Styling Lotion.  



Hazards and Cautions
Avoid contact with eyes. If product gets into the eyes rinse with warm water immediately. 



Ingredients
Water (Aqua), Sodium Cocoyl Methyl Isethionate, Cocamidopropyl Betaine, Glycerin, Sodium Methyl Isethionate, Benzyl Alcohol, PEG-150 Distearate, Fragrance (Parfum), Coconut Acid, Polyquaternium-10, Panthenol, Sodium Cocoate, Coco- Glucoside, Salicylic Acid, PPG-2 Hydroxyethyl Cocamide, Glycol Distearate, Disodium EDTA, Sodium Hydroxide, Sorbic Acid, Tetrasodium EDTA, Citric Acid, BHA, Pentylene Glycol, Avena Strigosa Seed Extract, Fructose, Urea, Tremella Fuciformis (Mushroom) Extract, Lecithin, Allantoin, Maltose, Sodium Chloride, Sodium Lactate, Sodium PCA, Trehalose, Potassium Sorbate, Glucose, Sodium Hyaluronate, Ferric Hexapeptide-35, Limonene, Alpha-Isomethyl Ionone.




...read more
...read less

"
Rad Fresh,"



		Product details
		



Aussie SOS Save My Lengths! Shampoo For Damaged Hair In Peril, 290mlLong and damaged hair ready to breakdown? We’ve all been there. Too much fun had. And it shows. We’re throwing you a lifeline, in the form of the heroic Aussie SOS Collection inculding Aussie SOS Save My Lengths! shampoo. Infused with a blend of Australian superfoods, used by indigenous Australian for their naturally healing and nourishing properties for thousands of years, those beauties shmooze your long hair back to their sensational, life-loving, all-round gorgeousness in no time. Then you can go out and do it all again.Aussie SOS Save My Lengths! shampoo with a blend of Australian SuperfoodsEmergency rescue for long and damaged hair in perilAussie is recognized cruelty free by PETASuperFoods. Super-Charged. Super-Hair




How to use
Massage into wet hair then rinse out. Bingo, your hair will be reborn. Hey, why not follow up with Aussie SOS Save My Lengths! hair conditioner?



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Parfum, Sodium Chloride, Citric Acid, Sodium Benzoate, Sodium Citrate, Sodium Salicylate, Limonene, Guar Hydroxypropyltrimonium Chloride, Sodium Hydroxide, Tetrasodium EDTA, Linalool, Glycerin, Histidine, Butylene Glycol, Santalum Acuminatum Fruit Extract, Macadamia Ternifolia Seed Oil, Leptospermum Scoparium Leaf Extract, Alcohol Denatured




...read more
...read less

"
Rad Nourishing,"



		Product details
		



When washing, the active caffeine ingredient penetrates all the way into the hair follicle, which can be detected after being left on for as little as 120 seconds. A combination of natural wheat extracts and provitamin B5 condition, repair and protect coloured and stressed hair. The damaged hair structure is smoothed and the hair is provided with intensive shine.




"
Rad Sport,"



		Product details
		



Head & Shoulders anti dandruff Shampoo targets the root cause of dandruff, for up to 72h protection from flakes dryness and itch (visible flakes, with regular use; itch due to dandruff). Its advanced formula is dermatologically tested, pH balanced and boosted with antioxidants for gentle care of hair and scalp and gives up to 100% flake free, clinically proven (with regular use). Smooth & Silky Anti Dandruff Shampoo controls your frizz to give you beautiful smooth & shiny hair. Head & Shoulders is the worlds number 1 shampoo brand (P&G calculation based on shampoo category yearly external sale) and cares for the planet: Recyclable bottle (excluding cap and depending on recycling facilities).
 

Up to 72h dandruff dryness itch protection (visible flakes, with regular use) (due to dandruff)
Targets dandruff root cause  for up to 100% flake-free, clinically proven (with regular use)
Dermatologically tested, pH balanced and boosted with antioxidants for gentle care of scalp and hair
Smooth & Silky Anti Dandruff Shampoo controls your frizz to give you beautiful shiny hair
Better together, use with H&S conditioner that deeply moisturizes hair and scalp for beautiful hair
Worlds Number 1 Shampoo Brand (P&G calculation based on shampoo category yearly external sale)
Good for the planet: Recyclable bottle (excluding cap and depending on recycling facilities)





How to use
For best results, use with H&S conditioner that deeply moisturises hair and scalp, for beautiful flake free* hair with a lightweight finish.



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Dimethiconol, Parfum, Piroctone Olamine, Dimethicone, Citric Acid, Sodium Salicylate, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, TEA-Dodecylbenzenesulfonate, Tetrasodium EDTA, Sodium Hydroxide, Trideceth-10, Hexyl Cinnamal, Benzyl Salicylate, Limonene, Alpha-Isomethyl Ionone, Citronellol, Linalool, Triethylene Glycol, Propylene Glycol, Benzyl Alcohol




...read more
...read less

"
Satsun Anti-Bacterial,"



		Product details
		



Recharge your red. Our Red Boosting Shampoo, with Pomegranate Extract & Vitamin E, gently protects, preserves & enhances red shades to extend the life of your red colour.For red hair that shines with health, the Red Boosting Shampoo also contains 18-MEA Technology. 18-MEA is a natural part of the hair’s structure and can be stripped away in the colouring and lightening process. 18-MEA provides a natural water-repelling barrier to the surface of the hair; without it, damaged hair may not attract the oils it needs. The Red Boosting Shampoo helps the hair repel unwanted water for greater shine and smoothness.Safe for use on natural or colour-treated hair. The revolutionary Radiant Red collection protects and replenishes every hair strand so redheads can rock their vibrant and unique colour with confidence.




How to use
Gently massage into wet hair, lather, and rinse well. For an infusion of red with every wash, follow with Radiant Red® Red Boosting Conditioner. For optimal colour protection results, use every time you wash your hair.


Ingredients
Aqua, Sodium Laureth Sulfate, Sorbitol, Cocamidopropyl Betaine, Coco-Glucoside, Sodium Lauryl Sulfate, Parfum, Lauric Acid, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Sodium Chloride, Hydroxycetyl Hydroxyethyl Dimonium Chloride, Disodium EDTA, Erythritol, Malic Acid, Glycine, PEG-12 Dimethicone, Ethylhexyl Methoxycinnamate, PPG-9, Benzophenone-4, Stearoxypropyl Dimethylamine, C14-28 Isoalkyl Acid, Sodium Hydroxide, Propylene Glycol, C14-28 Alkyl Acid, Methylchloroisothiazolinone, Stearyl Alcohol, Methylisothiazolinone, Alcohol, Citric Acid, Tocopheryl Acetate, Sodium Benzoate, Retinyl Palmitate, Punica Granatum Extract, Prunus Domestica Fruit Extract, Potassium Sorbate, Magnesium Ascorbyl Phosphate, Lecithin, Caramel, CI 17200, CI 14700, CI 42090, Linalool, Butylphenyl Methylpropional, Hexyl Cinnamal, Limonene.  



...read more
...read less

"
Satsun Calm,"



		Product details
		



Brunette hair SOS? Don't panic, we’re throwing you an Aussie lifeline.
This kick (br)ass blue shampoo fights brassy tones and unwanted shades, leaving both dark or light brunette hair boosted, hydrated and extra vibrant! Woop!
Infused with amazing Australian superfoods, this blue shampoo for brunettes is a true saviour for dry and dull brown hair that’s crying out for help. Plus, did we mention it smells a-mazing?
Our best blue shampoo with 94% natural origin (75% purified water and 19% natural derived ingredients) other 6% for a good usage experience & product stability

POWERFUL INGREDIENTS: Aussie SOS Blue Shampoo with Australian Pepperberry & Aloe Vera
MIRACLE EFFECTS: for brunette hair in need of a boost of toning, vibrancy & hydration
100% VEGAN: formula without animal derived ingredients or by-products
GOOD FOR THE PLANET: this bottle is made of 40% recycled plastic
WELL-BALANCED: 94% natural origin
INTOXICATING SCENT: Enjoy the delicious Aussie fragrance





How to use
How to use: Massage onto wet hair, leave for a few minutes, then rinse thoroughly. To top it off, follow with SOS Brunette Hydration Conditioner or 3 Minute Miracle for extra nourishment.



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamidopropyl Betaine, Sodium Citrate, Sodium Chloride, PPG-2 Hydroxyethyl Coco/Isostearamide, Parfum, Dimethiconol, Sodium Xylenesulfonate, Citric Acid, TEA-Dodecylbenzenesulfonate, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Laureth-23, Tetrasodium EDTA, Sodium Hydroxide, Limonene, Dodecylbenzene Sulfonic Acid, Glycerin, CI 60730, CI 42090, Histidine, Magnesium Nitrate, Tasmannia Lanceolata Leaf Extract, Aloe Barbadensis Leaf Extract, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone




...read more
...read less

"
Satsun Cleanse,"



		Product details
		



With crushed pearls and sweet almond oil, moisturising formula protects and preserves brunette colour as it rehydrates and replenishes dry, colour-treated brunette hair.




How to use
Apply shampoo to wet hair, lather, rinse well. Follow with Brilliant Brunette® Colour Protecting Moisturising Conditioner. For best results please use every time you wash your hair.



Ingredients
AquaSodium Laureth SulfateGlycerinCocamidopropyl BetaineCoco-GlucosideGlycol DistearateCetyl AlcoholSodium Lauryl SulfateLauric AcidParfumPolyquaternium-10DimethiconeBenzyl AlcoholCaramelSodium ChlorideHydroxycetyl Hydroxyethyl Dimonium ChlorideDisodium EDTAMalic AcidGlycinePEG-12 DimethiconeTheobroma Cacao Seed ButterPearl PowderPPG-9Prunus Amygdalus Dulcis OilStearoxypropyl DimethylamineC14-28 Isoalkyl AcidLaureth-23Laureth-4C14-28 Alkyl AcidMethylchloroisothiazolinoneStearyl AlcoholLecithin MethylchloroisothiazolinoneAlcoholTocopheryl AcetateMagnesium Ascorbyl PhosphateSodium HydroxideRetinyl PalmitateButylphenyl MethylpropionalHydroxyisohexyl 3-Cyclohexene CarboxaldehydeCoumarin



...read more
...read less

"
Satsun Invigorate,"



		Product details
		



Create deeper, richer tones as you cleanse. Formulated with cocoa and evening primrose oil, our Colour Deepening Shampoo cleanses and infuses deep brunette tones leaving hair feeling silky, smooth & soft*
COLOUR DEPOSITING. Safe for use on natural, colour-treated and highlighted hair.  
*with shampoo & conditioner use




How to use
Gently massage shampoo into wet hair, lather and rinse well. For rich, lustrous tones, follow with Midnight Brunette Colour Deepening Conditioner.  



Hazards and Cautions
For external use only. Do not apply to a sensitive, irritated or damaged scalp. Discontinue use if rash or irritation occurs. Keep out of reach of children. When contact occurs with skin, fabric or household surfaces, clean immediately to prevent staining. 



Ingredients
AQUA, SODIUM LAURETH SULFATE, SODIUM LAURYL SULFATE, GLYCOL DISTEARATE, CETYL ALCOHOL, SODIUM CHLORIDE, BETAINE, PARFUM, COCAMIDE MEA, LACTIC ACID, MALIC ACID, COCAMIDOPROPYL BETAINE, BENZYL ALCOHOL, SODIUM HYDROXIDE, DISODIUM EDTA, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, ACID VIOLET 43, ACID ORANGE 7, ACID YELLOW 3, GLYCINE, OENOTHERA BIENNIS OIL, PPG-9, PROPYLENE GLYCOL, THEOBROMA CACAO EXTRACT, SODIUM BENZOATE, METHYLCHLOROISOTHIAZOLINONE, ME T H Y L I SOT H I A Z O L I NON E , POTASSIUM BENZOATE, POTASSIUM SORBATE, PHENOXYETHANOL,
HYDROXYCITRONELLAL, LIMONENE.




...read more
...read less

"
Satsun Moisturise,"



		Product details
		



LIMITED EDITION - SUBJECT TO AVAILABILITY

Globally, Dove does not test on animals. We have joined forces with PETA to create a Limited-Edition pack design, available on some of our bestselling products, that celebrates our joint commitment to help bring an end to animal testing. Through our efforts we aim to raise awareness of our support for a global ban on animal testing for cosmetics and invite others to join us.

Our hair gets stressed out and damaged over time, and can easily start to look dull. Dove Nutritive Solutions Intensive Repair Shampoo helps to treat the appearance of damaged hair so that it looks healthy and more beautiful, while restoring your hair's strength to make it more resilient to breakage in the long run. Dove Nutritive Solutions Intensive Repair Shampoo has a unique formula with Nutri-Keratin Repair Actives that help to visibly repair signs of surface damage and progressively nourish damaged hair. With continuous use, this shampoo for damaged hair nourishes the core of your hair to reconstruct it from within, giving it a sleek look. By helping to reinforce your hair against breakage, it can also prevent the appearance of split ends and damage caused by colouring and heat styling.

How to use: Simply apply this Dove shampoo to wet hair and gently massage into a lather. It rinses away cleanly, revealing healthy hair that feels stronger. Suitable for daily use. To keep that damage repair going, make sure you use a hair conditioner that works with your shampoo to increase your hair’s strength. Dove Intensive Repair Conditioner will help to prevent breakages, and leave your hair looking and feeling instantly nourished and beautiful. Globally, Dove does not test on animals.

For the last 30 years, Dove has used alternative non-animal methods to test the safety of its products. PETA certified as Cruelty-Free, Dove products carry PETA’s Beauty Without Bunnies logo for added peace of mind.

Important Information:


Dove Nutritive Solutions Intensive Repair Shampoo nourishes to repair the appearance of damaged hair, Globally, Dove does not test on animals and we have joined forces with PETA to create a Limited-Edition pack design that celebrates our joint commitment to help bring an end to animal testing.
Dove Intensive Repair Shampoo was designed to repair and progressively nourish your hair, and to prevent future damage
This Intensive Repair Shampoo was formulated with Nutri-Keratin Repair Actives, which work immediately to help repair the hair surface
Wash after wash, this shampoo makes hair more healthy-looking and with continuous use, it helps protect hair against future damage
This shampoo for damaged hair is suitable for daily use, so your hair looks healthy, strong and more beautiful every day
For best results, follow with Dove Intensive Repair Conditioner to prevent breakages, and have instantly nourished, healthy-looking hair





How to use
Completely soak your hair and massage your Intensive Repair Shampoo gently over your scalp. Rinse it out well



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Chloride, Glycol Distearate, Cocamidopropyl Betaine, Glycerin, Acrylates/Beheneth-25 Methacrylate Copolymer, Amodimethicone, Cetrimonium Chloride, Citric Acid, Cocamide MEA, Dimethicone, Dimethiconol, Dimethyl Palmitamine, Disodium EDTA, Gluconolactone, Guar Hydroxypropyltrimonium Chloride, Laureth-23, Laureth-4, Methylchloroisothiazolinone, Methylisothiazolinone, Mica, Parfum, PEG-4, PEG-45M, Poloxamer 407, PPG-12, Silica, Sodium Benzoate, Sodium Hydroxide, Sodium Lauryl Sulfate, Sulfate, Styrene/Acrylates Copolymer, TEA-Dodecylbenzenesulfonate, TEA-Sulfate, Trehalose, Trideceth-12, Xanthan Gum, Benzyl Alcohol, Butylphenyl Methylpropional, Citronellol, Hexyl Cinnamal, Limonene, Linalool, CI 77891.
Ingredients correct at time of publishing. Always check product packaging.



...read more
...read less

"
Satsun Nourish,"



		Product details
		



 John Frieda Brilliant Brunette Colour Protecting Moisturising Shampoo, seals colour and resists fading  Don't fade away. Our Colour Protecting Moisturising Shampoo protects and preserves brunette colour as it rehydrates and replenishes dry, colour-treated brunette hair.  Product packaging may vary 




"
Satsun Scrub,"



		Product details
		



A select blend of deep cleansing ingredients to help maintain the natural protection of your scalp from 1st use
Contains Saliclic Acid, a highly effective dandruff pretention ingredient. Leaves hair clean, soft and manageable.




Suitable for
All hair



How to use
Apply to damp hair and scalp. Massage in and ideally leave for a minute, then rinse thoroughly. Repeat as necessary.



Hazards and Cautions
Avoid contact with eyes, if this should happen rinse immediately.



Ingredients
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Salicylic Acid, Sodium Coco-Sulfate, Glycerin, Sodium, Chloride, Sodium Citrate, Parfum, DMDM Hydantoin, Citric Acid, Sodium Hydroxide, Sodium Benzoate, Caramel, Linalool, Maltodextrin, Hexylene Glycol.




...read more
...read less

"
Satsun Spike,"



		Product details
		



Head & Shoulders anti dandruff Shampoo targets the root cause of dandruff, for up to 72h protection from flakes dryness and itch (visible flakes, with regular use; itch due to dandruff). Its advanced formula is dermatologically tested, pH balanced and boosted with antioxidants for gentle care of hair and scalp and gives up to 100% flake free, clinically proven (with regular use). Citrus Fresh Shampoo effectively cleans greasy hair and oily scalp for a fresh feeling and a long lasting great scent. Head & Shoulders is the worlds number 1 shampoo brand (P&G calculation based on shampoo category yearly external sale) and cares for the planet: Recyclable bottle (excluding cap and depending on recycling facilities).
 

Up to 72h dandruff dryness itch protection (visible flakes, with regular use) (due to dandruff)
Targets dandruff root cause for up to 100% flake-free, clinically proven (with regular use)
Dermatologically tested, pH balanced and boosted with antioxidants for gentle care of scalp and hair
Citrus Fresh Anti Dandruff Shampoo cleans greasy hair and oily scalps with lasting Citrus scent
Better together, use with H&S conditioner that deeply moisturizes hair and scalp for beautiful hair
Worlds Number 1 Shampoo Brand (P&G calculation based on shampoo category yearly external sale)
Good for the planet: Recyclable bottle (excluding cap and depending on recycling facilities)





How to use
For best results, use with H&S conditioner that deeply moisturises hair and scalp, for beautiful flake free* hair with a lightweight finish.



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Parfum, Piroctone Olamine, Menthol, Dimethiconol, Citric Acid, Sodium Benzoate, Sodium Salicylate, Guar Hydroxypropyltrimonium Chloride, Dimethicone, Tetrasodium EDTA, Sodium Hydroxide, TEA-Dodecylbenzenesulfonate, Trideceth-10, Hexyl Cinnamal, Limonene, Benzyl Salicylate, Propylene Glycol, Citronellol, Polyquaternium-76, Citrus Limon Fruit Extract, CI 19140, Triethylene Glycol, Benzyl Alcohol, CI 42090




...read more
...read less

"
Satsun Sport,"



		Product details
		



Density Thickening Shampoo contains unique hyper-branched polymers and Hydrolysed Pea Peptides to instantly volumise fine hair without causing dryness. Our sulphate-free formula restores and strengthens strands from deep within the cortex, while BHA’s gently exfoliate the scalp, for reduced hair breakage and an optimal scalp environment. 




Suitable for
20+



How to use
Apply to wet hair, gently kneading the scalp for 60 seconds. Add more water to create lather. Rinse well and repeat if necessary.



Hazards and Cautions
PAO 6 Months



Important info

Vegan
UK made




Ingredients
Aqua/Water/Eau, Cocamidopropyl Betaine, Sodium C14-16 Olefin Sulfonate, Salicylic Acid, Pisum Sativum (Pea) Peptide, Sodium Methyl Cocoyl Taurate, Sodium Chloride, Polyquaternium-110, Sodium Lauroyl Sarcosinate, Phenoxyethanol, Sodium Benzoate, Xanthan Gum, Sodium Hydroxide, Parfum (Fragrance), Coconut Acid, Hydroxypropylgluconamide, Glycerin, Guar Hydroxypropyltrimonium Chloride, Hydroxypropylammonium Gluconate, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Lauric Acid, Linalool, Citric Acid, Tartaric Acid, Benzyl Alcohol, Potassium Sorbate




...read more
...read less

"
Seek Anti-Dandruff,"



		Product details
		



This shampoo cleanses while infusing hair with intense moisture and shine-enhancing nutrients. Mafura Oil, Baobab, and Fair Trade Shea Butter are blended into a rich formulation of restorative oils to soften and revitalize hair.
 
Our shampoo, with antioxidant rich Fig, helps boost hydration while cleansing hair. Apply to wet hair and gently work into a rich lather. Rinse thoroughly. Repeat as needed. For best results, follow with our INTENSIVE HYDRATION CONDITIONER.
 
Shea Moisture's Story: Shea Moisture is the legacy of Sofi Tucker, a pioneering mother of four and an entrepreneur, who sold Shea Butter, African Black Soap and homemade beauty preparations in Sierra Leone in 1912. We honor her vision by continuing to formulate with Raw Shea Butter handcrafted by women in Africa. With every purchase you show support of our mission to reinvest back in our communities.
 
Key features:

This range is great for dry, damaged coily hair
Designed to clean well but leave plenty of moisture for after-shampoo manageability
Mafura Oil, Baobab, and Fair Trade Shea Butter are blended into a rich formulation of restorative oils and anti-oxydant rich Fig
All Shea Moisture hair products contain fair trade shea butter from Ghana
This range is Sulphate and Silicone Free
With every purchase you show support of our mission to reinvest back in our communities

 
Natural ingredients may vary in color and consistency.




How to use
Work conditioner through clean, wet hair from roots to ends. Leave on for up to 3 minutes, then rinse. Style as desired. For best results use after cleansing with our HYDRATE & REPAIR SHAMPOO.


Ingredients
Aqua, Decyl Glucoside, Sodium Lauroyl Lactylate, Parfum, Glyceryl Stearate, Glycerin, Panthenol, Guar Hydroxypropyltrimonium Chloride, Butyrospermum Parkii (Shea) Butter* **, Mel (Honey), Trichilia Emetica (Mafura) Seed Butter, Adansonia Digitata (Baobab) Seed Oil, Ficus Carica (Fig) Fruit/Leaf Extract, Aloe Barbadensis (Aloe) Leaf Juice, Hydrolyzed Rice Protein, Caprylyl Glycol, Caprylylhydroxamic Acid, Citric Acid, Sodium Benzoate, Benzyl Alcohol, Phenoxyethanol, Potassium Sorbate, Sodium Hydroxide, Ethylhexylglycerin, Benzyl Benzoate, Limonene. Ingredients correct at time of publication. Always check the packaging for latest ingredient list.



...read more
...read less

"
